season,player_name,Tm,Age,Pos,Int,PD,Sk,QBHits
2016,Kwon Alexander,TAM,22,MLB,1,7,3,7
2016,Landon Collins,NYG,22,SS,5,13,4,5
2016,Telvin Smith,JAX,25,LLB,2,8,1,2
2016,Tahir Whitehead,DET,26,MLB,0,5,0,0
2016,Alec Ogletree,LAR,25,MLB,2,11,0,3
2016,Zach Brown,BUF,27,LILB,1,4,4,8
2016,Paul Posluszny,JAX,32,MLB,1,3,1.5,3
2016,Johnathan Cyprien,JAX,26,SS,0,4,1,1
2016,Christian Kirksey,CLE,24,RILB,0,3,2.5,7
2016,Antoine Bethea,SFO,32,SS,1,3,0,1
2016,Sean Lee,DAL,30,RLB,0,1,0,2
2016,Zach Orr,BAL,24,RILB,3,5,0,1
2016,Mark Barron,LAR,27,LLB,2,8,1,3
2016,Mason Foster,WAS,27,RILB,0,3,1,5
2016,Jerrell Freeman,CHI,30,LILB,0,5,0,2
2016,Malcolm Smith,OAK,27,RLB,1,3,0,2
2016,Bobby Wagner,SEA,26,MLB,1,3,4.5,18
2016,Preston Brown,BUF,24,RILB,0,1,1,3
2016,Jamie Collins,2TM,27,LLB/ROLB,2,3,3,8
2016,Bradley McDougald,TAM,26,FS,2,10,0,0
2016,Benardrick McKinney,HOU,24,RILB,0,2,5,11
2016,Tony Jefferson,ARI,24,SS,0,5,2,4
2016,Lawrence Timmons,PIT,30,RILB,2,5,2.5,11
2016,Deion Jones,ATL,22,RILB,3,11,0,2
2016,Logan Ryan,NWE,25,RCB,2,11,1,3
2016,Tavon Wilson,DET,26,SS,2,2,1,1
2016,Vontaze Burfict,CIN,26,RLB,2,8,2,4
2016,Thomas Davis,CAR,33,RLB,3,4,2.5,5
2016,Byron Jones,DAL,24,FS,1,10,0,0
2016,Avery Williamson,TEN,24,RILB,1,1,2,5
2016,Rodney McLeod,PHI,26,FS,3,7,1,0
2016,Keanu Neal,ATL,21,FS,0,8,0,0
2016,K.J. Wright,SEA,27,RLB,0,5,4,8
2016,Luke Kuechly,CAR,25,MLB,1,6,2,4
2016,Craig Robertson,NOR,28,LLB,1,4,1,6
2016,Morgan Burnett,GNB,27,SS,2,9,3,4
2016,Derrick Johnson,KAN,34,LILB,1,3,1,2
2016,Eric Kendricks,MIN,24,MLB,1,9,2.5,4
2016,Kiko Alonso,MIA,26,MLB,2,4,0,6
2016,Nigel Bradham,PHI,27,LLB,1,5,2,3
2016,Karlos Dansby,CIN,35,LLB,0,6,1,2
2016,Harrison Smith,MIN,27,FS,0,2,2,3
2016,T.J. Ward,DEN,30,SS,1,8,1,5
2016,Vernon Hargreaves III,TAM,21,LCB,1,9,0,0
2016,Lavonte David,TAM,26,RLB,1,4,5,8
2016,Devin McCourty,NWE,29,FS,1,7,0,0
2016,Deone Bucannon,ARI,24,LILB,0,4,0,1
2016,Kurt Coleman,CAR,28,SS,4,7,1,2
2016,Harold Jones-Quartey,CHI,23,SS,1,5,0,0
2016,Jatavis Brown,SDG,22,LILB,0,6,3.5,3
2016,Todd Davis,DEN,24,ROLB/LILB,0,3,0.5,4
2016,Marcus Cooper,ARI,26,RCB,4,11,0,0
2016,David Harris,NYJ,32,RILB,0,2,0.5,2
2016,Daryl Worley,CAR,21,RCB,1,9,1,1
2016,Mike Adams,IND,35,SS,2,2,0,2
2016,Eric Berry,KAN,28,SS,4,9,0,0
2016,Bashaud Breeland,WAS,24,LCB,3,11,1,1
2016,Jonathan Casillas,NYG,29,RLB,0,8,1.5,3
2016,Ha Ha Clinton-Dix,GNB,24,FS,5,7,0.5,1
2016,Corey Graham,BUF,31,FS,1,9,1,1
2016,Von Miller,DEN,27,LOLB,0,3,13.5,24
2016,Ricardo Allen,ATL,25,SS,2,3,0,0
2016,Vonn Bell,NOR,22,DB,0,4,1,4
2016,Barry Church,DAL,28,SS,2,4,0,2
2016,William Compton,WAS,27,LILB,1,5,0,2
2016,Ramik Wilson,KAN,24,RILB,1,3,0,0
2016,Nick Bellore,SFO,27,LILB,1,5,1,3
2016,Ronald Darby,BUF,22,LCB,0,12,0,1
2016,Jason McCourty,TEN,29,RCB,2,12,0,0
2016,Chris Conte,TAM,27,SS,2,5,0,0
2016,Demario Davis,CLE,27,LILB,0,2,2,5
2016,Kevin Minter,ARI,26,RILB,0,2,3.5,7
2016,Steven Nelson,KAN,23,RCB,0,16,0,1
2016,Lardarius Webb,BAL,31,FS,1,5,1,1
2016,Shawn Williams,CIN,25,SS,3,5,1,8
2016,Jordan Hicks,PHI,24,MLB,5,11,1,5
2016,D.J. Swearinger,ARI,25,DB,3,8,2,3
2016,Adrian Amos,CHI,23,FS,0,4,0,0
2016,Chris Harris Jr.,DEN,27,RCB,2,11,0,0
2016,Jake Ryan,GNB,24,LILB,0,3,0,3
2016,DeShawn Shead,SEA,27,RCB,1,14,0,0
2016,Lorenzo Alexander,BUF,33,ROLB,1,6,12.5,22
2016,David Amerson,OAK,25,LCB,2,16,0,0
2016,Jairus Byrd,NOR,30,FS,2,3,0,0
2016,C.J. Mosley,BAL,24,LILB,4,8,0,4
2016,Denzel Perryman,SDG,24,RILB,1,2,2,2
2016,Sean Davis,PIT,23,SS,1,5,1.5,4
2016,Damon Harrison,NYG,28,LDT,0,1,2.5,4
2016,Gerald Hodges,SFO,25,RILB,2,2,3,4
2016,Mike Mitchell,PIT,29,FS,1,9,0,1
2016,Glover Quin,DET,30,FS,2,5,0,1
2016,Jalen Ramsey,JAX,22,RCB,2,14,0,1
2016,Ryan Shazier,PIT,24,LILB,3,9,3.5,7
2016,Daniel Sorensen,KAN,26,DB,3,6,1,3
2016,Darian Stewart,DEN,28,FS,3,6,0,2
2016,Joe Thomas,GNB,25,LILB,1,5,0,2
2016,Duke Ihenacho,WAS,27,FS,0,2,0,1
2016,Adam Jones,CIN,33,RCB,1,7,0,1
2016,Khalil Mack,OAK,25,RDE,1,3,11,26
2016,Keenan Robinson,NYG,27,MLB,0,7,0,1
2016,Brandon Carr,DAL,30,LCB,1,9,0,1
2016,Korey Toomer,SDG,28,LILB,0,2,1,3
2016,Artie Burns,PIT,21,LCB,3,13,0,0
2016,Patrick Chung,NWE,29,SS,1,3,1,1
2016,D'Qwell Jackson,IND,33,LILB,0,3,1,3
2016,Rashaan Melvin,IND,27,LCB,0,7,0,0
