season,player_name,Tm,Age,Int,PD,Sk,QBHits,pos,school,ht,wt,forty,bench,vertical,broad_jump,cone,shuttle
2016,Kwon Alexander,TB,22,1,7,3,7,OLB,LSU,73,227,4.55,24,36,121,7.14,4.2
2017,Kwon Alexander,TB,23,3,4,0,3,OLB,LSU,73,227,4.55,24,36,121,7.14,4.2
2018,Kwon Alexander,TB,24,0,2,1,2,OLB,LSU,73,227,4.55,24,36,121,7.14,4.2
2019,Kwon Alexander,SF,25,1,4,0.5,1,OLB,LSU,73,227,4.55,24,36,121,7.14,4.2
2020,Kwon Alexander,NO,26,0,4,1,2,OLB,LSU,73,227,4.55,24,36,121,7.14,4.2
2021,Kwon Alexander,NO,27,1,2,3.5,7,OLB,LSU,73,227,4.55,24,36,121,7.14,4.2
2022,Kwon Alexander,NYJ,28,0,1,0.5,2,OLB,LSU,73,227,4.55,24,36,121,7.14,4.2
2016,Landon Collins,NYG,22,5,13,4,5,S,Alabama,72,228,4.53,20,35,120,7.38,4.33
2017,Landon Collins,NYG,23,2,6,0,2,S,Alabama,72,228,4.53,20,35,120,7.38,4.33
2018,Landon Collins,NYG,24,0,4,0,2,S,Alabama,72,228,4.53,20,35,120,7.38,4.33
2019,Landon Collins,WAS,25,0,4,1,3,S,Alabama,72,228,4.53,20,35,120,7.38,4.33
2020,Landon Collins,WAS,26,1,1,2,1,S,Alabama,72,228,4.53,20,35,120,7.38,4.33
2021,Landon Collins,WAS,27,2,2,3,2,S,Alabama,72,228,4.53,20,35,120,7.38,4.33
2022,Landon Collins,NYG,28,1,2,1,1,S,Alabama,72,228,4.53,20,35,120,7.38,4.33
2016,Telvin Smith,JAX,25,2,8,1,2,OLB,Florida State,75,218,4.52,20,31.5,119,7,4
2017,Telvin Smith,JAX,26,3,5,1,2,OLB,Florida State,75,218,4.52,20,31.5,119,7,4
2018,Telvin Smith,JAX,27,2,2,1,3,OLB,Florida State,75,218,4.52,20,31.5,119,7,4
2016,Tahir Whitehead,DET,26,0,5,0,0,OLB,Temple,73,233,4.62,21,37,124,7.14,4.37
2017,Tahir Whitehead,DET,27,1,2,1,4,OLB,Temple,73,233,4.62,21,37,124,7.14,4.37
2018,Tahir Whitehead,LV,28,1,5,0,1,OLB,Temple,73,233,4.62,21,37,124,7.14,4.37
2019,Tahir Whitehead,LV,29,0,1,0,1,OLB,Temple,73,233,4.62,21,37,124,7.14,4.37
2020,Tahir Whitehead,CAR,30,1,1,0,1,OLB,Temple,73,233,4.62,21,37,124,7.14,4.37
2021,Tahir Whitehead,ARI,31,0,0,0,0,OLB,Temple,73,233,4.62,21,37,124,7.14,4.37
2016,Alec Ogletree,LAR,25,2,11,0,3,OLB,Georgia,74,242,4.7,20,33.5,122,7.16,4.39
2017,Alec Ogletree,LAR,26,1,10,2,5,OLB,Georgia,74,242,4.7,20,33.5,122,7.16,4.39
2018,Alec Ogletree,NYG,27,5,8,1,4,OLB,Georgia,74,242,4.7,20,33.5,122,7.16,4.39
2019,Alec Ogletree,NYG,28,1,6,1,3,OLB,Georgia,74,242,4.7,20,33.5,122,7.16,4.39
2020,Alec Ogletree,NYJ,29,0,0,0,0,OLB,Georgia,74,242,4.7,20,33.5,122,7.16,4.39
2021,Alec Ogletree,CHI,30,0,4,0,3,OLB,Georgia,74,242,4.7,20,33.5,122,7.16,4.39
2016,Zach Brown,BUF,27,1,4,4,8,OLB,NOth Carolina,73,244,4.44,20,33.5,116,7,4
2017,Zach Brown,WAS,28,0,2,2.5,5,OLB,NOth Carolina,73,244,4.44,20,33.5,116,7,4
2018,Zach Brown,WAS,29,0,1,1,2,OLB,NOth Carolina,73,244,4.44,20,33.5,116,7,4
2019,Zach Brown,PHI,30,0,2,0,0,OLB,NOth Carolina,73,244,4.44,20,33.5,116,7,4
2016,Paul Posluszny,JAX,32,1,3,1.5,3,OLB,Penn State,74,238,4.7,22,37,116,6.94,4.2
