,season_x,player_name,Tm,Age,Pos,Int,PD,Sk,QBHits,season_y,pos,school,ht,wt,forty,bench,vertical,broad_jump,cone,shuttle
0,2016,Kwon Alexander,TAM,22,MLB,1,7,3.0,7,2015,OLB,LSU,73,227.0,4.55,24.0,36.0,121.0,7.14,4.2
1,2017,Kwon Alexander,TAM,23,MLB,3,4,0.0,3,2015,OLB,LSU,73,227.0,4.55,24.0,36.0,121.0,7.14,4.2
2,2018,Kwon Alexander,TAM,24,MLB,0,2,1.0,2,2015,OLB,LSU,73,227.0,4.55,24.0,36.0,121.0,7.14,4.2
3,2019,Kwon Alexander,SFO,25,LLB,1,4,0.5,1,2015,OLB,LSU,73,227.0,4.55,24.0,36.0,121.0,7.14,4.2
4,2020,Kwon Alexander,2TM,26,LLB,0,4,1.0,2,2015,OLB,LSU,73,227.0,4.55,24.0,36.0,121.0,7.14,4.2
5,2021,Kwon Alexander,NOR,27,LLB,1,2,3.5,7,2015,OLB,LSU,73,227.0,4.55,24.0,36.0,121.0,7.14,4.2
6,2022,Kwon Alexander,NYJ,28,LB,0,1,0.5,2,2015,OLB,LSU,73,227.0,4.55,24.0,36.0,121.0,7.14,4.2
7,2016,Landon Collins,NYG,22,SS,5,13,4.0,5,2015,S,Alabama,72,228.0,4.53,20.0,35.0,120.0,7.38,4.33
8,2017,Landon Collins,NYG,23,SS,2,6,0.0,2,2015,S,Alabama,72,228.0,4.53,20.0,35.0,120.0,7.38,4.33
9,2018,Landon Collins,NYG,24,SS,0,4,0.0,2,2015,S,Alabama,72,228.0,4.53,20.0,35.0,120.0,7.38,4.33
10,2019,Landon Collins,WAS,25,SS,0,4,1.0,3,2015,S,Alabama,72,228.0,4.53,20.0,35.0,120.0,7.38,4.33
11,2020,Landon Collins,WAS,26,SS,1,1,2.0,1,2015,S,Alabama,72,228.0,4.53,20.0,35.0,120.0,7.38,4.33
12,2021,Landon Collins,WAS,27,SS,2,2,3.0,2,2015,S,Alabama,72,228.0,4.53,20.0,35.0,120.0,7.38,4.33
13,2022,Landon Collins,NYG,28,S,1,2,1.0,1,2015,S,Alabama,72,228.0,4.53,20.0,35.0,120.0,7.38,4.33
14,2016,Telvin Smith,JAX,25,LLB,2,8,1.0,2,2014,OLB,Florida State,75,218.0,4.52,20.0,31.5,119.0,7.0,4.0
15,2017,Telvin Smith,JAX,26,LLB,3,5,1.0,2,2014,OLB,Florida State,75,218.0,4.52,20.0,31.5,119.0,7.0,4.0
16,2018,Telvin Smith,JAX,27,LLB,2,2,1.0,3,2014,OLB,Florida State,75,218.0,4.52,20.0,31.5,119.0,7.0,4.0
17,2016,Tahir Whitehead,DET,26,MLB,0,5,0.0,0,2012,OLB,Temple,73,233.0,4.62,21.0,37.0,124.0,7.14,4.37
18,2017,Tahir Whitehead,DET,27,LLB,1,2,1.0,4,2012,OLB,Temple,73,233.0,4.62,21.0,37.0,124.0,7.14,4.37
19,2018,Tahir Whitehead,OAK,28,RLB,1,5,0.0,1,2012,OLB,Temple,73,233.0,4.62,21.0,37.0,124.0,7.14,4.37
20,2019,Tahir Whitehead,OAK,29,LLB,0,1,0.0,1,2012,OLB,Temple,73,233.0,4.62,21.0,37.0,124.0,7.14,4.37
21,2020,Tahir Whitehead,CAR,30,MLB,1,1,0.0,1,2012,OLB,Temple,73,233.0,4.62,21.0,37.0,124.0,7.14,4.37
22,2021,Tahir Whitehead,ARI,31,LB,0,0,0.0,0,2012,OLB,Temple,73,233.0,4.62,21.0,37.0,124.0,7.14,4.37
23,2016,Alec Ogletree,LAR,25,MLB,2,11,0.0,3,2013,OLB,Georgia,74,242.0,4.7,20.0,33.5,122.0,7.16,4.39
24,2017,Alec Ogletree,LAR,26,RILB,1,10,2.0,5,2013,OLB,Georgia,74,242.0,4.7,20.0,33.5,122.0,7.16,4.39
25,2018,Alec Ogletree,NYG,27,RILB,5,8,1.0,4,2013,OLB,Georgia,74,242.0,4.7,20.0,33.5,122.0,7.16,4.39
26,2019,Alec Ogletree,NYG,28,LILB,1,6,1.0,3,2013,OLB,Georgia,74,242.0,4.7,20.0,33.5,122.0,7.16,4.39
27,2020,Alec Ogletree,NYJ,29,LB,0,0,0.0,0,2013,OLB,Georgia,74,242.0,4.7,20.0,33.5,122.0,7.16,4.39
28,2021,Alec Ogletree,CHI,30,LILB,0,4,0.0,3,2013,OLB,Georgia,74,242.0,4.7,20.0,33.5,122.0,7.16,4.39
29,2016,Zach Brown,BUF,27,LILB,1,4,4.0,8,2012,OLB,North Carolina,73,244.0,4.44,20.0,33.5,116.0,7.0,4.0
30,2017,Zach Brown,WAS,28,LILB,0,2,2.5,5,2012,OLB,North Carolina,73,244.0,4.44,20.0,33.5,116.0,7.0,4.0
31,2018,Zach Brown,WAS,29,LILB,0,1,1.0,2,2012,OLB,North Carolina,73,244.0,4.44,20.0,33.5,116.0,7.0,4.0
32,2019,Zach Brown,PHI,30,MLB,0,2,0.0,0,2012,OLB,North Carolina,73,244.0,4.44,20.0,33.5,116.0,7.0,4.0
33,2016,Paul Posluszny,JAX,32,MLB,1,3,1.5,3,2007,OLB,Penn State,74,238.0,4.7,22.0,37.0,116.0,6.94,4.2
34,2017,Paul Posluszny,JAX,33,MLB,0,2,1.5,2,2007,OLB,Penn State,74,238.0,4.7,22.0,37.0,116.0,6.94,4.2
35,2016,Christian Kirksey,CLE,24,RILB,0,3,2.5,7,2014,OLB,Iowa,74,233.0,4.72,16.0,32.0,122.0,7.0,4.0
36,2017,Christian Kirksey,CLE,25,LLB,0,5,3.5,6,2014,OLB,Iowa,74,233.0,4.72,16.0,32.0,122.0,7.0,4.0
37,2018,Christian Kirksey,CLE,26,LLB,2,5,0.0,0,2014,OLB,Iowa,74,233.0,4.72,16.0,32.0,122.0,7.0,4.0
